character;pinyin;tone;meaning;source
a;a;2;a;user
地;di;4;земля;db
天;tian;1;день;user
日;ri;4;солнце;user
水;shui;3;вода;user
汽;qi;4;газ;db
火;huo;3;огонь;db
车;che;1;телега;db
飞;fei;1;летать;db
